Rep_s,Test_fold_no,Num_features,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
0,0,60,0.005,1.0,1.0,0.9444444444444444,0.9331103678929766,1.0
0,1,58,0.005,1.0,1.0,0.8888888888888888,0.959866220735786,0.9899665551839465
0,2,57,0.005,1.0,1.0,0.8888888888888888,0.9264214046822743,0.9866220735785953
0,3,60,0.005,1.0,1.0,1.0,1.0,1.0
0,4,61,0.005,1.0,1.0,0.9444444444444444,0.9933110367892977,1.0
0,5,43,0.005,1.0,1.0,0.9142857142857143,0.9615384615384616,0.965034965034965
0,6,49,0.005,1.0,1.0,0.9411764705882353,0.9734848484848485,1.0
0,7,64,0.005,1.0,1.0,0.9705882352941176,1.0,1.0
0,8,43,0.005,1.0,1.0,0.8823529411764706,0.965909090909091,0.9848484848484849
0,9,61,0.005,1.0,1.0,0.9705882352941176,0.9962121212121212,1.0
1,0,45,0.005,1.0,1.0,0.9166666666666666,0.9230769230769231,0.979933110367893
1,1,60,0.005,1.0,1.0,0.9722222222222222,1.0,1.0
1,2,59,0.005,1.0,1.0,0.8888888888888888,0.9799331103678929,0.9832775919732442
1,3,59,0.005,1.0,1.0,0.9166666666666666,0.979933110367893,1.0
1,4,63,0.005,1.0,1.0,0.8611111111111112,0.9698996655518394,0.9866220735785953
1,5,63,0.005,1.0,1.0,0.9714285714285714,1.0,1.0
1,6,55,0.005,1.0,1.0,0.9411764705882353,0.9886363636363635,1.0
1,7,69,0.005,1.0,1.0,0.9411764705882353,0.9924242424242424,0.9962121212121212
1,8,62,0.005,1.0,1.0,0.9705882352941176,1.0,1.0
1,9,59,0.005,1.0,1.0,0.8529411764705882,0.9772727272727273,0.9886363636363636
2,0,61,0.005,1.0,1.0,1.0,1.0,1.0
2,1,59,0.005,1.0,1.0,0.9166666666666666,0.9832775919732442,0.9899665551839465
2,2,59,0.005,1.0,1.0,0.8888888888888888,0.9063545150501672,0.959866220735786
2,3,48,0.005,1.0,1.0,0.9444444444444444,0.979933110367893,0.9866220735785953
2,4,64,0.005,1.0,1.0,0.9166666666666666,0.9498327759197324,0.9732441471571907
2,5,63,0.005,1.0,1.0,0.9142857142857143,0.986013986013986,0.9965034965034966
2,6,62,0.005,1.0,1.0,0.9411764705882353,0.9962121212121212,0.9962121212121212
2,7,58,0.005,1.0,1.0,0.9411764705882353,1.0,1.0
2,8,67,0.005,1.0,1.0,1.0,1.0,1.0
2,9,58,0.005,1.0,1.0,0.9411764705882353,0.9545454545454546,0.9886363636363635
3,0,61,0.005,1.0,1.0,0.9722222222222222,0.9866220735785953,1.0
3,1,59,0.005,1.0,1.0,1.0,1.0,1.0
3,2,61,0.005,1.0,1.0,0.9444444444444444,0.9933110367892977,1.0
3,3,53,0.005,1.0,1.0,0.8611111111111112,0.9297658862876255,0.979933110367893
3,4,54,0.005,1.0,1.0,0.9444444444444444,0.9966555183946488,1.0
3,5,63,0.005,1.0,1.0,1.0,1.0,1.0
3,6,55,0.005,1.0,1.0,0.9117647058823529,0.9772727272727273,1.0
3,7,62,0.005,1.0,1.0,0.9705882352941176,0.9962121212121212,1.0
3,8,58,0.005,1.0,1.0,0.9117647058823529,0.9696969696969697,0.9886363636363636
3,9,34,0.005,1.0,1.0,0.8529411764705882,0.8787878787878789,0.9090909090909091
4,0,64,0.005,1.0,1.0,0.9166666666666666,0.9866220735785953,0.9933110367892977
4,1,63,0.005,1.0,1.0,0.9722222222222222,0.9832775919732442,1.0
4,2,61,0.005,1.0,1.0,0.8333333333333334,0.9531772575250836,0.9698996655518394
4,3,58,0.005,1.0,1.0,0.9166666666666666,0.9765886287625418,1.0
4,4,62,0.005,1.0,1.0,1.0,1.0,1.0
4,5,61,0.005,1.0,1.0,0.9714285714285714,0.9965034965034966,1.0
4,6,62,0.005,1.0,1.0,0.9117647058823529,0.9848484848484849,0.9962121212121212
4,7,43,0.005,1.0,1.0,0.9411764705882353,0.9659090909090909,0.981060606060606
4,8,58,0.005,1.0,1.0,0.9411764705882353,0.9583333333333334,0.9886363636363636
4,9,59,0.005,1.0,1.0,0.9411764705882353,0.9962121212121212,1.0
