Rep_s,Test_fold_no,Num_features,learning_rate,convergence_percent,stopping_percent,train_accu,train_roc,test_accu,test_roc,observed_max_test_roc
0,0,67,0.001,1e-05,0.005,1.0,1.0,0.8181818181818182,0.8583333333333333,0.9666666666666667
0,1,65,0.001,1e-05,0.005,1.0,1.0,0.8095238095238095,0.8454545454545455,0.8636363636363638
0,2,61,0.001,1e-05,0.005,1.0,1.0,0.9047619047619048,0.8636363636363636,0.9090909090909091
0,3,64,0.001,1e-05,0.005,1.0,1.0,0.7619047619047619,0.8636363636363636,0.9272727272727272
0,4,65,0.001,1e-05,0.005,1.0,1.0,0.7142857142857143,0.9272727272727272,0.9272727272727272
0,5,68,0.001,1e-05,0.005,1.0,1.0,0.9523809523809523,0.9363636363636363,0.9818181818181817
0,6,67,0.001,1e-05,0.005,1.0,1.0,0.8571428571428571,0.8727272727272728,0.9090909090909091
0,7,59,0.001,1e-05,0.005,1.0,1.0,0.85,0.8484848484848485,0.8585858585858586
0,8,66,0.001,1e-05,0.005,1.0,1.0,0.85,0.9292929292929293,0.9595959595959596
0,9,66,0.001,1e-05,0.005,1.0,1.0,0.85,0.9494949494949494,0.9595959595959596
1,0,64,0.001,1e-05,0.005,1.0,1.0,0.7727272727272727,0.8833333333333333,0.9
1,1,66,0.001,1e-05,0.005,1.0,1.0,0.8571428571428571,0.8818181818181818,0.9363636363636363
1,2,77,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
1,3,65,0.001,1e-05,0.005,1.0,1.0,0.8571428571428571,0.9363636363636364,0.9636363636363636
1,4,71,0.001,1e-05,0.005,1.0,1.0,0.9523809523809523,0.9636363636363636,0.9636363636363636
1,5,63,0.001,1e-05,0.005,1.0,1.0,0.7619047619047619,0.8727272727272727,0.8909090909090909
1,6,60,0.001,1e-05,0.005,1.0,1.0,0.7619047619047619,0.8454545454545455,0.8545454545454546
1,7,62,0.001,1e-05,0.005,1.0,1.0,0.7,0.8585858585858586,0.8888888888888888
1,8,67,0.001,1e-05,0.005,1.0,1.0,0.9,0.9494949494949494,0.9494949494949494
1,9,68,0.001,1e-05,0.005,1.0,1.0,0.85,0.888888888888889,0.9292929292929293
2,0,62,0.001,1e-05,0.005,1.0,1.0,0.8181818181818182,0.9083333333333334,0.9166666666666667
2,1,69,0.001,1e-05,0.005,1.0,1.0,0.9523809523809523,0.9818181818181817,1.0
2,2,65,0.001,1e-05,0.005,1.0,1.0,0.8095238095238095,0.890909090909091,0.9181818181818182
2,3,70,0.001,1e-05,0.005,1.0,1.0,0.8571428571428571,0.9,0.9090909090909092
2,4,68,0.001,1e-05,0.005,1.0,1.0,0.9047619047619048,0.9636363636363636,0.9909090909090909
2,5,64,0.001,1e-05,0.005,1.0,1.0,0.8095238095238095,0.9272727272727272,0.9636363636363636
2,6,63,0.001,1e-05,0.005,1.0,1.0,0.8095238095238095,0.9454545454545454,0.9454545454545454
2,7,62,0.001,1e-05,0.005,1.0,1.0,0.8,0.8383838383838383,0.8585858585858587
2,8,65,0.001,1e-05,0.005,1.0,1.0,0.85,0.9494949494949495,0.9797979797979798
2,9,58,0.001,1e-05,0.005,1.0,1.0,0.8,0.797979797979798,0.8282828282828283
3,0,57,0.001,1e-05,0.005,1.0,1.0,0.7272727272727273,0.7583333333333333,0.7833333333333333
3,1,70,0.001,1e-05,0.005,1.0,1.0,0.9047619047619048,0.9727272727272728,0.9818181818181817
3,2,63,0.001,1e-05,0.005,1.0,1.0,0.9047619047619048,0.9,0.9
3,3,63,0.001,1e-05,0.005,1.0,1.0,0.8095238095238095,0.9181818181818182,0.9545454545454546
3,4,60,0.001,1e-05,0.005,1.0,1.0,0.7142857142857143,0.8272727272727272,0.8363636363636364
3,5,68,0.001,1e-05,0.005,1.0,1.0,0.9523809523809523,0.9545454545454545,0.9909090909090909
3,6,64,0.001,1e-05,0.005,1.0,1.0,0.9047619047619048,0.9454545454545454,0.9909090909090909
3,7,63,0.001,1e-05,0.005,1.0,1.0,0.75,0.8383838383838383,0.8484848484848484
3,8,67,0.001,1e-05,0.005,1.0,1.0,0.9,0.9898989898989898,1.0
3,9,66,0.001,1e-05,0.005,1.0,1.0,0.75,0.8787878787878787,0.898989898989899
4,0,66,0.001,1e-05,0.005,1.0,1.0,0.7727272727272727,0.8666666666666667,0.9083333333333334
4,1,59,0.001,1e-05,0.005,1.0,1.0,0.7619047619047619,0.8181818181818182,0.8454545454545455
4,2,71,0.001,1e-05,0.005,1.0,1.0,0.8571428571428571,0.9454545454545454,0.9727272727272727
4,3,70,0.001,1e-05,0.005,1.0,1.0,1.0,1.0,1.0
4,4,66,0.001,1e-05,0.005,1.0,1.0,0.8571428571428571,0.9454545454545454,0.9454545454545454
4,5,70,0.001,1e-05,0.005,1.0,1.0,0.8571428571428571,0.9545454545454546,0.9636363636363636
4,6,59,0.001,1e-05,0.005,1.0,1.0,0.8095238095238095,0.8818181818181818,0.9090909090909092
4,7,69,0.001,1e-05,0.005,1.0,1.0,0.9,0.9393939393939393,1.0
4,8,67,0.001,1e-05,0.005,1.0,1.0,0.85,0.8282828282828282,0.8888888888888887
4,9,64,0.001,1e-05,0.005,1.0,1.0,0.7,0.8383838383838383,0.9090909090909091
